Date,Region,Rainfall,Temperature,Humidity,Soil_Moisture,Water_Usage,Season,Groundwater_Level
2025-01-01,North,120,30,70,35,210,Winter,45
2025-01-08,East,85,32,65,30,290,Winter,50
2025-01-15,South,145,28,78,40,190,Winter,42
2025-01-22,West,60,34,52,25,330,Winter,53
2025-02-01,North,98,29,68,34,230,Winter,47
2025-02-08,East,130,27,75,38,205,Winter,44
2025-02-15,South,70,33,55,28,315,Winter,51
2025-02-22,West,115,31,72,36,220,Winter,46
2025-03-01,North,150,24,82,42,180,Spring,40
2025-03-08,East,110,26,78,38,215,Spring,44
2025-03-15,South,95,28,70,35,245,Spring,48
2025-03-22,West,130,25,76,39,205,Spring,43
2025-04-01,North,160,22,85,45,170,Spring,38
2025-04-08,East,140,23,80,43,185,Spring,41
2025-04-15,South,120,24,74,40,205,Spring,44
2025-04-22,West,105,26,68,36,235,Spring,48
2025-05-01,North,95,30,60,32,260,Summer,50
2025-05-08,East,80,33,55,28,310,Summer,54
2025-05-15,South,70,34,50,24,335,Summer,56
2025-05-22,West,110,31,65,34,245,Summer,48
2025-06-01,North,55,36,45,18,380,Summer,58
2025-06-08,East,60,35,48,20,360,Summer,57
2025-06-15,South,45,37,42,16,405,Summer,61
2025-06-22,West,90,32,58,30,280,Summer,49
2025-07-01,North,30,38,35,12,430,Monsoon,64
2025-07-08,East,40,37,38,14,420,Monsoon,62
2025-07-15,South,55,35,45,18,360,Monsoon,58
2025-07-22,West,75,34,55,25,300,Monsoon,52
2025-08-01,North,95,33,62,31,250,Monsoon,48
2025-08-08,East,110,32,68,35,220,Monsoon,45
